epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2385,1.36933,1.99038,1.27132,0.43368,0.89103,0.63653,0.26365,2.23508,3.24123,1.72754,0.06744,0.000328889,0.000328889
2,26.9521,1.19165,1.0237,1.17076,0.88031,0.82999,0.86991,0.60642,1.10213,0.85876,1.09457,0.0344334,0.000655666,0.000655666
3,39.6086,1.14871,0.85643,1.1646,0.86024,0.95311,0.92006,0.6193,1.1506,0.67961,1.13024,0.00142029,0.000975844,0.000975844
4,52.1455,1.1124,0.77395,1.13797,0.93886,0.92577,0.98022,0.73043,0.94137,0.59721,1.0387,0.0009703,0.0009703,0.0009703
5,64.6608,1.1371,0.73864,1.15285,0.94863,0.94438,0.98547,0.56851,1.52518,0.60221,1.31815,0.0009604,0.0009604,0.0009604
6,77.2965,1.11264,0.70626,1.1331,0.91598,0.93874,0.9746,0.60813,1.37442,0.60988,1.20548,0.0009505,0.0009505,0.0009505
7,90.652,1.05862,0.6745,1.12451,0.95652,0.92773,0.96248,0.61843,1.2882,0.57814,1.1831,0.0009406,0.0009406,0.0009406
8,104.513,1.07067,0.67637,1.13118,0.95083,0.93763,0.97713,0.67029,1.1755,0.54939,1.11244,0.0009307,0.0009307,0.0009307
9,117.664,1.04449,0.67911,1.10215,0.97626,0.93962,0.98489,0.67772,1.19523,0.52263,1.14228,0.0009208,0.0009208,0.0009208
10,130.687,1.03438,0.6241,1.10675,0.95935,0.95324,0.97925,0.72262,0.96747,0.49378,1.03804,0.0009109,0.0009109,0.0009109
11,143.472,1.04043,0.6207,1.11213,0.97056,0.91856,0.9847,0.74377,0.9515,0.48758,1.02401,0.000901,0.000901,0.000901
12,156.217,1.0494,0.61371,1.11766,0.9705,0.93762,0.98605,0.7283,0.99368,0.4883,1.04319,0.0008911,0.0008911,0.0008911
13,169.04,1.01277,0.57759,1.086,0.94924,0.95877,0.98439,0.68795,1.16061,0.50171,1.11671,0.0008812,0.0008812,0.0008812
14,181.526,1.02727,0.58918,1.10839,0.96656,0.93571,0.98628,0.74689,0.9441,0.46994,1.03205,0.0008713,0.0008713,0.0008713
15,194.337,1.01464,0.58061,1.09857,0.95694,0.95603,0.98577,0.75451,0.91726,0.46111,1.02267,0.0008614,0.0008614,0.0008614
16,206.948,1.01983,0.58103,1.09867,0.95853,0.93444,0.98659,0.71708,1.08999,0.47748,1.09676,0.0008515,0.0008515,0.0008515
17,219.72,1.00874,0.57018,1.09255,0.95533,0.95405,0.98753,0.73326,1.00444,0.44503,1.04247,0.0008416,0.0008416,0.0008416
18,233.084,1.00189,0.5635,1.09354,0.96223,0.94564,0.98655,0.74632,0.922,0.45974,1.02929,0.0008317,0.0008317,0.0008317
19,246.133,0.97135,0.55904,1.06429,0.94642,0.96036,0.98652,0.75548,0.88597,0.43859,1.00823,0.0008218,0.0008218,0.0008218
20,259.005,0.96646,0.54402,1.07245,0.95314,0.95218,0.98783,0.75827,0.90194,0.43953,1.01286,0.0008119,0.0008119,0.0008119
21,271.855,0.96432,0.53207,1.06894,0.95393,0.95226,0.98342,0.73726,0.97242,0.43369,1.03354,0.000802,0.000802,0.000802
22,284.692,0.97435,0.54393,1.08157,0.95964,0.94694,0.98644,0.74391,0.90115,0.42858,1.00931,0.0007921,0.0007921,0.0007921
23,297.462,0.95615,0.52883,1.0659,0.95748,0.94821,0.98629,0.73504,0.97477,0.4165,1.0356,0.0007822,0.0007822,0.0007822
24,310.127,0.97005,0.52917,1.07592,0.95433,0.95565,0.98592,0.75276,0.92147,0.4259,1.01732,0.0007723,0.0007723,0.0007723
25,323,0.95538,0.52296,1.06119,0.95129,0.94509,0.98605,0.76123,0.91896,0.42428,1.01783,0.0007624,0.0007624,0.0007624
26,335.757,0.94184,0.50624,1.0642,0.96417,0.94976,0.98118,0.74916,0.93919,0.45189,1.02104,0.0007525,0.0007525,0.0007525
27,348.635,0.95272,0.51794,1.07004,0.93745,0.9748,0.98859,0.7498,0.94609,0.41898,1.02176,0.0007426,0.0007426,0.0007426
28,361.656,0.9558,0.52208,1.06795,0.94493,0.95906,0.98199,0.75274,0.91367,0.42618,1.01033,0.0007327,0.0007327,0.0007327
29,374.765,0.93203,0.51097,1.05294,0.95574,0.95039,0.98677,0.75008,0.95492,0.41931,1.03285,0.0007228,0.0007228,0.0007228
30,388.11,0.92761,0.4984,1.04469,0.95232,0.94974,0.98111,0.73203,1.00285,0.44243,1.04882,0.0007129,0.0007129,0.0007129
31,400.756,0.9424,0.52549,1.06629,0.94461,0.96209,0.98657,0.75656,0.9445,0.41502,1.01771,0.000703,0.000703,0.000703
32,413.626,0.96773,0.54737,1.06254,0.92858,0.97546,0.98779,0.74317,1.0314,0.4272,1.05324,0.0006931,0.0006931,0.0006931
33,426.198,0.94187,0.50097,1.0579,0.94333,0.95523,0.98421,0.76273,0.87444,0.41796,1.00083,0.0006832,0.0006832,0.0006832
34,439.521,0.92122,0.4986,1.06064,0.96034,0.96118,0.9875,0.74132,1.04367,0.45008,1.06619,0.0006733,0.0006733,0.0006733
35,451.482,0.9355,0.4928,1.06134,0.96023,0.93212,0.98488,0.74063,0.98313,0.42622,1.04183,0.0006634,0.0006634,0.0006634
36,463.136,0.93556,0.49414,1.0672,0.96189,0.95207,0.98901,0.7451,0.99169,0.41391,1.0394,0.0006535,0.0006535,0.0006535
37,474.675,0.91253,0.48293,1.05791,0.95708,0.96077,0.98984,0.75206,0.9414,0.40358,1.01313,0.0006436,0.0006436,0.0006436
38,486.454,0.95016,0.48249,1.06241,0.97541,0.93884,0.98965,0.76458,0.94505,0.39509,1.02769,0.0006337,0.0006337,0.0006337
39,498.104,0.90724,0.48478,1.04523,0.97052,0.94835,0.98915,0.74848,0.98726,0.41224,1.02963,0.0006238,0.0006238,0.0006238
40,509.499,0.93113,0.49057,1.05053,0.96669,0.95919,0.9857,0.75044,0.95722,0.41744,1.02418,0.0006139,0.0006139,0.0006139
41,520.914,0.91436,0.47691,1.0538,0.95342,0.93487,0.98691,0.74875,0.99882,0.42389,1.04476,0.000604,0.000604,0.000604
42,532.719,0.92239,0.48638,1.04731,0.95726,0.95049,0.98626,0.77254,0.87808,0.39498,0.99848,0.0005941,0.0005941,0.0005941
43,544.406,0.88523,0.46448,1.03497,0.96558,0.95654,0.98891,0.7568,0.98806,0.39255,1.03776,0.0005842,0.0005842,0.0005842
